"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90072441","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134770",""
"1ZR4R346YW90135892","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.62","-$3.37","$17.25","3135116",""
"1ZR4R346YW90162308","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134824",""
"1ZR4R346YW90244907","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.33","-$3.06","$12.27","3135120",""
"1ZR4R346YW90282572","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.27","-$3.14","$17.13","3135155",""
"1ZR4R346YW90349367","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134811",""
"1ZR4R346YW90372322","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.49","-$3.14","$16.35","3135036",""
"1ZR4R346YW90494272","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","732670",""
"1ZR4R346YW90501067","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.85","-$3.37","$13.48","3135013",""
"1ZR4R346YW90516515","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.99","-$3.87","$18.12","3134814",""
"1ZR4R346YW90561243","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.28","-$3.20","$16.08","3134883",""
"1ZR4R346YW90599356","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.62","-$3.37","$17.25","3135096",""
"1ZR4R346YW90619619","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134894",""
"1ZR4R346YW90628350","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3134813",""
"1ZR4R346YW90859404","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3134803",""
"1ZR4R346YW90896150","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3135202",""
"1ZR4R346YW90904604","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3134968",""
"1ZR4R346YW90936973","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3134807",""
"1ZR4R346YW90948102","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134721",""
"1ZR4R346YW90959627","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3135137",""
"1ZR4R346YW90988524","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134703",""
"1ZR4R346YW90989658","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3134880",""
"1ZR4R346YW91072734","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.30","-$2.94","$16.36","3135101",""
"1ZR4R346YW91103165","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.90","-$3.46","$16.44","3134844",""
"1ZR4R346YW91162137","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134818",""
"1ZR4R346YW91187030","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134846",""
"1ZR4R346YW91247519","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3134927",""
"1ZR4R346YW91267757","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.09","-$2.62","$10.47","3135025",""
"1ZR4R346YW91338091","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.27","-$3.14","$17.13","732675",""
"1ZR4R346YW91423122","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.75","-$3.43","$16.32","3134809",""
"1ZR4R346YW91426727","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.99","-$3.01","$11.98","3134845",""
"1ZR4R346YW91534020","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134801",""
"1ZR4R346YW91675271","Nov 30, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3132547",""
"1ZR4R346YW91722488","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.03","-$2.89","$14.14","3134905",""
"1ZR4R346YW91737383","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3134902",""
"1ZR4R346YW91788784","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.09","-$2.62","$10.47","3135154",""
"1ZR4R346YW91807057","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.59","-$3.01","$14.58","3134705",""
"1ZR4R346YW91886785","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.08","-$3.10","$14.98","3134732",""
"1ZR4R346YW91888916","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.33","-$3.06","$12.27","3135108",""
"1ZR4R346YW91895926","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.85","-$3.37","$13.48","3135112",""
"1ZR4R346YW91981323","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3134911",""
"1ZR4R346YW92125023","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.62","-$3.37","$17.25","3135166",""
"1ZR4R346YW92167210","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.77","-$2.96","$11.81","3134805",""
"1ZR4R346YW92171590","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3134733",""
"1ZR4R346YW92173007","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3135144",""
"1ZR4R346YW92179047","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134836",""
"1ZR4R346YW92247437","Dec 23, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134885",""
"1ZR4R346YW92290318","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134820",""
"1ZR4R346YW92319958","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3134724",""
"1ZR4R346YW92393467","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.85","-$3.37","$13.48","3135141",""
"1ZR4R346YW92393592","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3135153",""
"1ZR4R346YW92413793","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.83","-$3.16","$12.67","3134826",""
"1ZR4R346YW92490049","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.85","-$3.37","$13.48","3135149",""
"1ZR4R346YW92525752","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134742",""
"1ZR4R346YW92632010","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.26","-$3.14","$17.12","3135029",""
"1ZR4R346YW92640145","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134797",""
"1ZR4R346YW92805815","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.33","-$3.06","$12.27","3134999",""
"1ZR4R346YW92834856","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3134996",""
"1ZR4R346YW92892856","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.99","-$3.87","$18.12","3134773",""
