"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90002383","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.15","-$3.27","$16.88","3138662",""
"1ZR4R346YW90012434","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.33","-$3.27","$13.06","3138639",""
"1ZR4R346YW90038416","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.69","-$3.02","$16.67","3138623",""
"1ZR4R346YW90164351","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138751",""
"1ZR4R346YW90182822","Feb 16, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138983",""
"1ZR4R346YW90193356","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.74","-$3.83","$19.91","3138590",""
"1ZR4R346YW90195407","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.96","-$3.83","$19.13","3138817",""
"1ZR4R346YW90227300","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.23","-$2.65","$10.58","3138589",""
"1ZR4R346YW90238003","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.74","-$3.55","$14.19","3138945",""
"1ZR4R346YW90255315","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.71","-$3.18","$16.53","3138591",""
"1ZR4R346YW90268258","Feb 16, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.74","-$3.55","$14.19","3139005",""
"1ZR4R346YW90301970","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.11","-$3.67","$18.44","3138600",""
"1ZR4R346YW90375703","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138688",""
"1ZR4R346YW90399027","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$2.91","$15.39","3138622",""
"1ZR4R346YW90416712","Feb 09, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$19.29","$1.92","$21.21","3138462",""
"1ZR4R346YW90427497","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.48","-$2.91","$11.57","3138956",""
"1ZR4R346YW90452076","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.14","-$3.83","$15.31","3138870",""
"1ZR4R346YW90496341","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138481",""
"1ZR4R346YW90503092","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.96","-$3.83","$19.13","3138848",""
"1ZR4R346YW90506428","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138908",""
"1ZR4R346YW90510646","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.74","-$3.55","$14.19","3138678",""
"1ZR4R346YW90563778","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.77","-$3.36","$13.41","3138579",""
"1ZR4R346YW90568166","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.37","-$3.36","$18.01","3138578",""
"1ZR4R346YW90584611","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.18","-$3.06","$16.12","3138644",""
"1ZR4R346YW90651637","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.74","-$3.83","$19.91","3138418",""
"1ZR4R346YW90661206","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.14","-$3.83","$15.31","3138658",""
"1ZR4R346YW90687939","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.93","-$3.42","$17.51","3138756",""
"1ZR4R346YW90711894","Feb 16, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.93","-$3.42","$17.51","3139041",""
"1ZR4R346YW90734299","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.77","-$3.36","$13.41","3138692",""
"1ZR4R346YW90770811","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138650",""
"1ZR4R346YW90832834","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.48","-$3.73","$18.75","3138679",""
"1ZR4R346YW90836938","Feb 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.77","-$3.36","$13.41","3138567",""
"1ZR4R346YW90837731","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.48","-$3.73","$18.75","3138712",""
"1ZR4R346YW90854034","Feb 16, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138974",""
"1ZR4R346YW90866012","Feb 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.64","-$3.13","$12.51","3138538",""
"1ZR4R346YW90934395","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138405",""
"1ZR4R346YW90947596","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.93","-$3.42","$17.51","3138700",""
"1ZR4R346YW90963185","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.07","-$3.41","$13.66","3138736",""
"1ZR4R346YW90966066","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.50","-$3.18","$17.32","3138769",""
"1ZR4R346YW90990020","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.14","-$3.83","$15.31","3138790",""
"1ZR4R346YW91000114","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138759",""
"1ZR4R346YW91035524","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.90","-$3.02","$15.88","3138943",""
"1ZR4R346YW91053782","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138950",""
"1ZR4R346YW91082723","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138758",""
"1ZR4R346YW91132213","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.37","-$3.06","$12.31","3138594",""
"1ZR4R346YW91138486","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.55","-$3.55","$18.00","3138883",""
"1ZR4R346YW91151783","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138499",""
"1ZR4R346YW91207080","Feb 11, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138585",""
"1ZR4R346YW91216141","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.09","-$3.02","$12.07","3138884",""
"1ZR4R346YW91237324","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138936",""
"1ZR4R346YW91300899","Feb 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138690",""
"1ZR4R346YW91301816","Feb 15, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.55","-$3.55","$18.00","3138913",""
