"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90014110","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137384",""
"1ZR4R346YW90014110","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3137384",""
"1ZR4R346YW90020701","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137526",""
"1ZR4R346YW90024289","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137797",""
"1ZR4R346YW90033475","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137618",""
"1ZR4R346YW90064156","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137400",""
"1ZR4R346YW90064156","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137400",""
"1ZR4R346YW90068509","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.60","-$3.55","$18.05","3137788",""
"1ZR4R346YW90108779","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137403",""
"1ZR4R346YW90108779","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3137403",""
"1ZR4R346YW90111407","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.60","-$3.12","$12.48","3137817",""
"1ZR4R346YW90134464","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.73","-$3.35","$13.38","3137811",""
"1ZR4R346YW90162700","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3137792",""
"1ZR4R346YW90182242","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3137588",""
"1ZR4R346YW90203086","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.33","-$3.06","$12.27","3137636",""
"1ZR4R346YW90221888","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137374",""
"1ZR4R346YW90221888","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3137374",""
"1ZR4R346YW90287942","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137436",""
"1ZR4R346YW90288512","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.86","-$3.17","$12.69","3137821",""
"1ZR4R346YW90289048","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$13.76","$1.88","$15.64","3137426",""
"1ZR4R346YW90289048","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137426",""
"1ZR4R346YW90302764","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.85","-$3.66","$19.19","3137635",""
"1ZR4R346YW90309356","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.10","-$3.26","$16.84","3137707",""
"1ZR4R346YW90329914","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.67","-$3.17","$16.50","3137693",""
"1ZR4R346YW90338351","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.33","-$3.06","$12.27","3137433",""
"1ZR4R346YW90349385","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.89","-$3.42","$17.47","3137802",""
"1ZR4R346YW90372493","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137673",""
"1ZR4R346YW90377201","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.22","-$3.72","$19.50","3137743",""
"1ZR4R346YW90383481","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.84","-$3.40","$17.44","3137662",""
"1ZR4R346YW90410576","Jan 26, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137365",""
"1ZR4R346YW90443371","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137653",""
"1ZR4R346YW90470654","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137586",""
"1ZR4R346YW90478665","Jan 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137497",""
"1ZR4R346YW90505545","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3137611",""
"1ZR4R346YW90507230","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137425",""
"1ZR4R346YW90507230","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3137425",""
"1ZR4R346YW90523794","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137407",""
"1ZR4R346YW90523794","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3137407",""
"1ZR4R346YW90551423","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3137681",""
"1ZR4R346YW90600950","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.30","-$3.26","$13.04","3137556",""
"1ZR4R346YW90614605","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137530",""
"1ZR4R346YW90623533","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.85","-$3.66","$19.19","3137644",""
"1ZR4R346YW90627995","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137820",""
"1ZR4R346YW90658103","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137383",""
"1ZR4R346YW90658103","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3137383",""
"1ZR4R346YW90665748","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137397",""
"1ZR4R346YW90665748","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137397",""
"1ZR4R346YW90671240","Jan 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137488",""
"1ZR4R346YW90693244","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3137785",""
"1ZR4R346YW90697035","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137420",""
"1ZR4R346YW90697035","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137420",""
"1ZR4R346YW90701396","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137703",""
"1ZR4R346YW90746848","Jan 27, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137369",""
"1ZR4R346YW90746848","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3137369",""
"1ZR4R346YW90796928","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137776",""
"1ZR4R346YW90798382","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137545",""
"1ZR4R346YW90834896","Jan 27, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.63","-$3.41","$18.22","3137408",""
"1ZR4R346YW90859057","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3137564",""
"1ZR4R346YW90883002","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.67","-$3.42","$18.25","3137536",""
"1ZR4R346YW90891324","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.15","-$2.82","$11.33","3137613",""
"1ZR4R346YW90918724","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137774",""
"1ZR4R346YW90937267","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137643",""
"1ZR4R346YW90950199","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3137800",""
"1ZR4R346YW90957807","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$2.90","$15.36","3137712",""
"1ZR4R346YW90997078","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137676",""
"1ZR4R346YW90998942","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.30","-$3.26","$13.04","3137709",""
"1ZR4R346YW91059099","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137795",""
