"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YT99205751","Mar 02, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.97","-$3.19","$12.78","3140295",""
"1ZR4R346YW90008636","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.41","-$3.28","$13.13","3139885",""
"1ZR4R346YW90019357","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.01","-$3.07","$16.94","3139705",""
"1ZR4R346YW90021040","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.29","-$2.66","$10.63","3139949",""
"1ZR4R346YW90037720","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.58","-$4.15","$20.43","3139593",""
"1ZR4R346YW90044481","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.29","-$2.66","$10.63","3140041",""
"1ZR4R346YW90065646","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.60","-$3.55","$18.05","3139662",""
"1ZR4R346YW90069188","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.97","-$3.19","$12.78","3139872",""
"1ZR4R346YW90075555","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.81","-$3.56","$14.25","3140244",""
"1ZR4R346YW90078847","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.92","-$3.57","$14.35","3140071",""
"1ZR4R346YW90092401","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.80","-$4.16","$16.64","3140206",""
"1ZR4R346YW90109778","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.18","-$3.84","$15.34","3139633",""
"1ZR4R346YW90133536","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.53","-$3.73","$18.80","3139804",""
"1ZR4R346YW90200776","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.92","-$3.57","$14.35","3140087",""
"1ZR4R346YW90214332","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.58","-$3.74","$18.84","3139931",""
"1ZR4R346YW90252103","Mar 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.19","-$3.44","$13.75","3140386",""
"1ZR4R346YW90292249","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.71","-$3.74","$14.97","3139784",""
"1ZR4R346YW90296861","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.47","-$3.37","$18.10","3140195",""
"1ZR4R346YW90304548","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.98","-$3.43","$17.55","3139693",""
"1ZR4R346YW90324606","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.81","-$3.36","$13.45","3139825",""
"1ZR4R346YW90329512","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.41","-$3.28","$13.13","3140264",""
"1ZR4R346YW90338806","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.92","-$3.57","$14.35","3139900",""
"1ZR4R346YW90363814","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.88","-$3.57","$14.31","3139386",""
"1ZR4R346YW90384882","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.03","-$3.44","$17.59","3140173",""
"1ZR4R346YW90392220","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.58","-$4.15","$20.43","3139569",""
"1ZR4R346YW90425444","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.84","-$3.37","$13.47","3140198",""
"1ZR4R346YW90441319","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.34","-$3.68","$14.66","3139658",""
"1ZR4R346YW90443424","Mar 02, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.84","-$3.37","$13.47","3140279",""
"1ZR4R346YW90461422","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.44","-$3.08","$12.36","3139887",""
"1ZR4R346YW90465866","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.06","-$3.08","$16.98","3139871",""
"1ZR4R346YW90482490","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.41","-$3.28","$13.13","3139946",""
"1ZR4R346YW90487815","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.75","-$3.74","$15.01","3140007",""
"1ZR4R346YW90536020","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.19","-$3.44","$13.75","3139860",""
"1ZR4R346YW90587583","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.13","-$2.91","$16.22","3139592",""
"1ZR4R346YW90595305","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.19","-$3.44","$13.75","3140213",""
"1ZR4R346YW90643682","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.41","-$3.28","$13.13","3139948",""
"1ZR4R346YW90697928","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.80","-$4.16","$16.64","3140122",""
"1ZR4R346YW90706926","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.19","-$3.44","$13.75","3139893",""
"1ZR4R346YW90714015","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.19","-$3.44","$13.75","3140114",""
"1ZR4R346YW90714444","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.84","-$3.37","$13.47","3139884",""
"1ZR4R346YW90722006","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.60","-$3.55","$18.05","3139674",""
"1ZR4R346YW90731881","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.98","-$3.43","$17.55","3139530",""
"1ZR4R346YW90737992","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.03","-$3.44","$17.59","3139870",""
"1ZR4R346YW90748999","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.80","-$4.16","$16.64","3140228",""
"1ZR4R346YW90771141","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.37","-$3.27","$13.10","3139782",""
"1ZR4R346YW90775745","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.58","-$4.15","$20.43","3139259",""
"1ZR4R346YW90793930","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.24","-$3.28","$16.96","3140103",""
"1ZR4R346YW90803240","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.81","-$3.56","$14.25","3140048",""
"1ZR4R346YW90808781","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.41","-$3.28","$13.13","3139972",""
"1ZR4R346YW90820436","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.80","-$4.16","$16.64","3140247",""
"1ZR4R346YW90843760","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.58","-$3.74","$18.84","3140016",""
"1ZR4R346YW90859388","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.19","-$3.44","$13.75","3139917",""
"1ZR4R346YW90867511","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.67","-$3.14","$12.53","3139801",""
"1ZR4R346YW90872701","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.75","-$3.74","$15.01","3140032",""
"1ZR4R346YW90951652","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.75","-$3.74","$15.01","3140047",""
"1ZR4R346YW90969438","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.97","-$3.19","$12.78","3140053",""
"1ZR4R346YW90983010","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.44","-$3.08","$12.36","3139958",""
"1ZR4R346YW90990351","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.59","-$3.19","$17.40","3139890",""
"1ZR4R346YW90994688","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.44","-$3.08","$12.36","3140187",""
"1ZR4R346YW91008170","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.65","-$3.56","$18.09","3140246",""
"1ZR4R346YW91013468","Feb 24, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.67","-$3.14","$12.53","3139736",""
"1ZR4R346YW91016205","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.34","-$3.68","$14.66","3139596",""
"1ZR4R346YW91018776","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.34","-$3.68","$14.66","3139239",""
"1ZR4R346YW91030672","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.98","-$3.43","$17.55","3139657",""
"1ZR4R346YW91035533","Mar 02, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.92","-$3.57","$14.35","3140269",""
"1ZR4R346YW91047977","Feb 24, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.37","-$3.27","$13.10","3139737",""
"1ZR4R346YW91059633","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.24","-$3.28","$16.96","3140203",""
"1ZR4R346YW91086416","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.00","-$3.69","$19.31","3140184",""
"1ZR4R346YW91087200","Feb 28, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.92","-$3.57","$14.35","3140081",""
"1ZR4R346YW91121065","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.60","-$3.55","$18.05","3139660",""
"1ZR4R346YW91127863","Mar 02, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.84","-$3.37","$13.47","3140321",""
"1ZR4R346YW91183061","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.81","-$3.56","$14.25","3140176",""
"1ZR4R346YW91183221","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.53","-$3.73","$18.80","3139783",""
"1ZR4R346YW91215080","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.03","-$3.44","$17.59","3140223",""
"1ZR4R346YW91224598","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.03","-$3.44","$17.59","3140116",""
"1ZR4R346YW91225855","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.92","-$3.57","$14.35","3140196",""
"1ZR4R346YW91234470","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.68","-$3.37","$17.31","3140190",""
"1ZR4R346YW91266605","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.75","-$3.74","$15.01","3140263",""
"1ZR4R346YW91282883","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.53","-$3.73","$18.80","3139654",""
"1ZR4R346YW91291775","Mar 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.75","-$3.74","$15.01","3140155",""
"1ZR4R346YW91292685","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.95","-$3.03","$15.92","3139597",""
"1ZR4R346YW91308382","Feb 25, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.37","-$3.27","$13.10","3139821",""
"1ZR4R346YW91310959","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.71","-$3.74","$14.97","3139691",""
