"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90049440","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.86","-$3.17","$12.69","3136370",""
"1ZR4R346YW90068456","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.50","-$3.54","$17.96","3135288",""
"1ZR4R346YW90080021","Jan 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.40","-$3.72","$18.68","3136201",""
"1ZR4R346YW90082967","Jan 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.61","-$3.32","$13.29","3136042",""
"1ZR4R346YW90125527","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3136388",""
"1ZR4R346YW90171094","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.47","-$4.13","$20.34","3135434",""
"1ZR4R346YW90191849","Jan 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3135825",""
"1ZR4R346YW90255468","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3135279",""
"1ZR4R346YW90279791","Jan 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.88","-$2.97","$11.91","3136127",""
"1ZR4R346YW90302988","Jan 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.09","$12.38","3136133",""
"1ZR4R346YW90315134","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3135652",""
"1ZR4R346YW90335363","Jan 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3136135",""
"1ZR4R346YW90373143","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3135347",""
"1ZR4R346YW90378684","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.86","-$3.17","$12.69","3136378",""
"1ZR4R346YW90416285","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.90","-$3.82","$19.08","3135438",""
"1ZR4R346YW90454350","Jan 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3136137",""
"1ZR4R346YW90454761","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3135385",""
"1ZR4R346YW90460816","Jan 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3136022",""
"1ZR4R346YW90483355","Jan 05, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3135845",""
"1ZR4R346YW90551263","Jan 05, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.85","-$3.17","$12.68","3135844",""
"1ZR4R346YW90563063","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.49","-$3.54","$17.95","3135499",""
"1ZR4R346YW90569129","Jan 10, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.28","-$3.54","$18.74","3136257",""
"1ZR4R346YW90624934","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3135544",""
"1ZR4R346YW90639544","Jan 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3136010",""
"1ZR4R346YW90656061","Jan 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.47","-$4.13","$20.34","3136048",""
"1ZR4R346YW90723621","Jan 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3136056",""
"1ZR4R346YW90738204","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.59","-$3.40","$18.19","3135619",""
"1ZR4R346YW90751752","Jan 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.00","-$3.40","$13.60","3135999",""
