"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90060623","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.47","-$4.13","$20.34","3137899",""
"1ZR4R346YW90064227","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.29","-$3.54","$18.75","3137793",""
"1ZR4R346YW90079837","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.04","-$3.41","$13.63","3137889",""
"1ZR4R346YW90083573","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137913",""
"1ZR4R346YW90112291","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.72","-$3.42","$18.30","3138029",""
"1ZR4R346YW90114593","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3137903",""
"1ZR4R346YW90127543","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.48","-$3.73","$18.75","3138120",""
"1ZR4R346YW90134375","Jan 31, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3137629",""
"1ZR4R346YW90161194","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138296",""
"1ZR4R346YW90177810","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$2.90","$15.36","3137962",""
"1ZR4R346YW90200785","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.93","-$3.42","$17.51","3138109",""
"1ZR4R346YW90207377","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138401",""
"1ZR4R346YW90249788","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3137906",""
"1ZR4R346YW90371663","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.74","-$3.55","$14.19","3138036",""
"1ZR4R346YW90372199","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138390",""
"1ZR4R346YW90381778","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3137916",""
"1ZR4R346YW90394497","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138129",""
"1ZR4R346YW90416712","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.53","-$4.14","$20.39","3138462",""
"1ZR4R346YW90420949","Feb 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3137990",""
"1ZR4R346YW90455322","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138470",""
"1ZR4R346YW90460236","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138189",""
"1ZR4R346YW90478898","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138215",""
"1ZR4R346YW90496903","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.30","-$3.26","$13.04","3137843",""
"1ZR4R346YW90501030","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.96","-$3.83","$19.13","3138159",""
"1ZR4R346YW90533425","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138057",""
"1ZR4R346YW90542102","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3138181",""
"1ZR4R346YW90549632","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137947",""
"1ZR4R346YW90579583","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137892",""
"1ZR4R346YW90611877","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.53","-$4.14","$20.39","3138245",""
"1ZR4R346YW90618825","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137966",""
"1ZR4R346YW90638992","Feb 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.73","-$3.35","$13.38","3137996",""
"1ZR4R346YW90653402","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.71","-$4.14","$16.57","3138355",""
"1ZR4R346YW90670090","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138240",""
"1ZR4R346YW90677271","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.55","-$3.55","$18.00","3138031",""
"1ZR4R346YW90709727","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3137934",""
"1ZR4R346YW90715121","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3137814",""
"1ZR4R346YW90737447","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138419",""
"1ZR4R346YW90754008","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3137902",""
"1ZR4R346YW90767905","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.55","-$3.55","$18.00","3138128",""
"1ZR4R346YW90768271","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.84","-$3.56","$14.28","3138396",""
"1ZR4R346YW90778457","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.33","-$3.27","$13.06","3138172",""
"1ZR4R346YW90787929","Feb 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.20","-$2.64","$10.56","3138006",""
"1ZR4R346YW90808021","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138362",""
"1ZR4R346YW90825137","Feb 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3138002",""
"1ZR4R346YW90825379","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.45","-$2.90","$11.55","3137895",""
"1ZR4R346YW90873068","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$25.26","-$4.13","$21.13","3137879",""
"1ZR4R346YW90876136","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.53","-$4.14","$20.39","3138277",""
"1ZR4R346YW90883002","Jan 31, 2022","Adjustments & Other Charges","Shipping Charge Corrections","UPS SurePost - 1 LB or Greater","$3.70","$0.00","$3.70","3137536",""
"1ZR4R346YW90884734","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.80","-$3.55","$14.25","3137828",""
"1ZR4R346YW90884958","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138504",""
"1ZR4R346YW90900386","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.15","-$3.27","$16.88","3138198",""
"1ZR4R346YW90906120","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.37","-$3.06","$12.31","3138221",""
"1ZR4R346YW90920873","Feb 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.55","-$2.91","$11.64","3137993",""
"1ZR4R346YW90976537","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138476",""
"1ZR4R346YW91007117","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.66","-$4.13","$16.53","3137960",""
"1ZR4R346YW91027604","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138392",""
"1ZR4R346YW91030056","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3137880",""
"1ZR4R346YW91098172","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.33","-$3.27","$13.06","3138199",""
"1ZR4R346YW91148153","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138135",""
"1ZR4R346YW91168266","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.67","-$3.42","$18.25","3137756",""
"1ZR4R346YW91186684","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.18","-$2.83","$11.35","3138491",""
"1ZR4R346YW91190848","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$24.53","-$4.14","$20.39","3138154",""
"1ZR4R346YW91201219","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138179",""
"1ZR4R346YW91206330","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.74","-$3.83","$19.91","3138320",""
"1ZR4R346YW91222358","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.64","-$3.13","$12.51","3138147",""
"1ZR4R346YW91239813","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.14","-$3.83","$15.31","3138414",""
"1ZR4R346YW91281099","Feb 08, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138310",""
"1ZR4R346YW91336593","Feb 09, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.89","-$3.18","$12.71","3138495",""
"1ZR4R346YW91448203","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.30","-$3.26","$13.04","3137972",""
"1ZR4R346YW91486850","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.89","-$3.18","$12.71","3138146",""
"1ZR4R346YW91500726","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.30","-$3.67","$14.63","3138138",""
"1ZR4R346YW91515854","Feb 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.60","-$3.12","$12.48","3137929",""
"1ZR4R346YW91523390","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138069",""
"1ZR4R346YW91525530","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.93","-$3.42","$17.51","3138083",""
"1ZR4R346YW91530962","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.89","-$3.18","$12.71","3138116",""
"1ZR4R346YW91535734","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3138124",""
"1ZR4R346YW91556300","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.11","-$3.67","$18.44","3138212",""
"1ZR4R346YW91556604","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.15","-$3.27","$16.88","3138295",""
"1ZR4R346YW91559183","Feb 01, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$2.90","$15.36","3137732",""
"1ZR4R346YW91593672","Feb 07, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.72","-$3.42","$18.30","3138188",""
