"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZA61V200391184732","Dec 29, 2021","Inbound","Third Party","Ground Residential Third Party","$73.65","-$17.37","$56.28","802407","BS01UPHBQQVFx1"
"1ZR4R346YT92676685","Jan 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.40","-$3.72","$18.68","3135743",""
"1ZR4R346YW90025733","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3135432",""
"1ZR4R346YW90028114","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3135687",""
"1ZR4R346YW90029211","Dec 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3135212",""
"1ZR4R346YW90039639","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.00","-$3.40","$13.60","3135421",""
"1ZR4R346YW90072245","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.54","-$3.51","$14.03","3134961",""
"1ZR4R346YW90080843","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3135308",""
"1ZR4R346YW90089264","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.00","-$3.40","$13.60","3135580",""
"1ZR4R346YW90098432","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.54","-$3.51","$14.03","3134964",""
"1ZR4R346YW90099824","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3135317",""
"1ZR4R346YW90141634","Jan 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.00","-$3.40","$13.60","3135771",""
"1ZR4R346YW90154326","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3135396",""
"1ZR4R346YW90174957","Jan 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.00","-$3.40","$13.60","3135805",""
"1ZR4R346YW90180397","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.46","-$3.29","$13.17","3135035",""
"1ZR4R346YW90187121","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3135510",""
"1ZR4R346YW90194337","Dec 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.94","-$3.19","$12.75","3135275",""
"1ZR4R346YW90195694","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.59","-$3.40","$18.19","3135560",""
"1ZR4R346YW90226598","Jan 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.00","-$3.40","$13.60","3135799",""
"1ZR4R346YW90227971","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.53","-$3.51","$14.02","3135089",""
"1ZR4R346YW90260809","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3135469",""
"1ZR4R346YW90262496","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.46","-$3.69","$14.77","3135181",""
"1ZR4R346YW90262889","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.30","-$3.51","$17.79","3135007",""
"1ZR4R346YW90284490","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3135445",""
"1ZR4R346YW90288389","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.93","-$3.39","$13.54","3134975",""
"1ZR4R346YW90319872","Dec 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.72","-$3.14","$12.58","3135228",""
"1ZR4R346YW90325687","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3135446",""
"1ZR4R346YW90363225","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.72","-$3.14","$12.58","3134965",""
"1ZR4R346YW90366133","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3135339",""
"1ZR4R346YW90380297","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.23","-$3.68","$18.55","3134942",""
"1ZR4R346YW90381723","Jan 04, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3135803",""
"1ZR4R346YW90390384","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3135335",""
"1ZR4R346YW90391570","Dec 28, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.46","-$3.29","$13.17","3135150",""
"1ZR4R346YW90414474","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3135402",""
"1ZR4R346YW90491051","Jan 03, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.50","-$3.54","$17.96","3135706",""
"1ZR4R346YW90504304","Dec 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.54","-$3.51","$14.03","3135238",""
