"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1Z986E610266212958","Dec 18, 2021","Inbound","Collect","2nd Day Air Residential Collect","$143.75","-$66.54","$77.21","448920-1","14602"
"1Z986E610266875368","Dec 18, 2021","Inbound","Collect","2nd Day Air Residential Collect","$143.75","-$66.54","$77.21","448920-1","14602"
"1ZR4R346YT90060138","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.09","-$3.50","$16.59","3134132",""
"1ZR4R346YT94058885","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.99","-$3.87","$18.12","3133778",""
"1ZR4R346YW90044749","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134296",""
"1ZR4R346YW90065968","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134285",""
"1ZR4R346YW90111130","Dec 17, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.89","-$3.33","$16.56","3134391",""
"1ZR4R346YW90142553","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$13.88","-$2.79","$11.09","3134823",""
"1ZR4R346YW90151543","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.08","-$3.10","$14.98","3134049",""
"1ZR4R346YW90196077","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134829",""
"1ZR4R346YW90218650","Dec 20, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.99","-$3.01","$11.98","3134449",""
"1ZR4R346YW90221271","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.90","-$3.46","$16.44","3133988",""
"1ZR4R346YW90229497","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134232",""
"1ZR4R346YW90246870","Dec 17, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134346",""
"1ZR4R346YW90352862","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134240",""
"1ZR4R346YW90354977","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3134137",""
"1ZR4R346YW90355458","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134833",""
"1ZR4R346YW90358393","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3134256",""
"1ZR4R346YW90374213","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.99","-$3.87","$18.12","3133818",""
"1ZR4R346YW90386620","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134250",""
"1ZR4R346YW90396431","Dec 20, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134450",""
"1ZR4R346YW90396986","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$12.23","-$2.44","$9.79","3134827",""
"1ZR4R346YW90408061","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134073",""
"1ZR4R346YW90420485","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.52","-$2.98","$14.54","3134213",""
"1ZR4R346YW90431008","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.59","-$3.01","$14.58","3134757",""
"1ZR4R346YW90447653","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134231",""
"1ZR4R346YW90460370","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.76","-$3.30","$16.46","3133939",""
"1ZR4R346YW90462547","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134208",""
"1ZR4R346YW90473991","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134141",""
"1ZR4R346YW90498349","Dec 13, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3133838",""
"1ZR4R346YW90518362","Dec 17, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3134387",""
"1ZR4R346YW90525201","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.77","-$2.96","$11.81","3134812",""
"1ZR4R346YW90533747","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134056",""
"1ZR4R346YW90555741","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.15","-$2.79","$14.36","3134810",""
"1ZR4R346YW90565838","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134249",""
"1ZR4R346YW90571483","Dec 20, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.42","-$2.89","$11.53","3134429",""
"1ZR4R346YW90626914","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.01","-$3.20","$12.81","3134223",""
"1ZR4R346YW90668423","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3134251",""
"1ZR4R346YW90692334","Dec 22, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134799",""
"1ZR4R346YW90748953","Dec 16, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3134202",""
"1ZR4R346YW90757916","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.28","-$2.74","$13.54","3134687",""
"1ZR4R346YW90759316","Dec 17, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134398",""
"1ZR4R346YW90761027","Dec 14, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3134033",""
"1ZR4R346YW90800556","Dec 15, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3134189",""
"1ZR4R346YW90816585","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.54","-$3.59","$16.95","3134746",""
"1ZR4R346YW90816834","Dec 21, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.03","-$2.89","$14.14","3134774",""
