Tracking Number,Transaction Date,Service Code,Published Charge,Incentive Charge,Net Charge,Ref No 1,Billed Weight,Package Quantity,Zone,Receiver City,Receiver State,Receiver Postal,Detail Keyed Dim,Total Cost,Adjustment
1ZR4R346YW94195481,2022-03-01,UPS SurePost - 1 LB or Greater,19.22,-3.84,15.38,3140260,9.0,1,6.0,Knoxville,TN,37934,15.0x 15.0x 10.0,15.38,0.0
1ZR4R346YW93875462,2022-03-01,UPS SurePost - 1 LB or Greater,16.84,-3.37,13.47,3140243,4.0,1,6.0,Livonia,MI,48154,14.0x 14.0x  4.0,13.469999999999999,-0.0
1ZR4R346YW93869988,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140154,6.0,1,5.0,Calabasas,CA,91302,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW96747327,2022-03-01,UPS SurePost - 1 LB or Greater,16.84,-3.37,13.47,3140207,4.0,1,6.0,HIGH POINT,NC,27265,14.0x 14.0x  4.0,13.469999999999999,-0.0
1ZR4R346YW93781107,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140167,6.0,1,7.0,Gaithersburg,MD,20878,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW96755363,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140202,6.0,1,6.0,Columbus,OH,43221,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW93619720,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140163,6.0,1,5.0,Chicago,IL,60610,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93593141,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140239,6.0,1,6.0,Santa Rosa Beach,FL,32459,15.0x 15.0x  6.0,14.25,0.0
1ZR4R346YW93581529,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140125,6.0,1,5.0,Matteson,IL,60443,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93560033,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140135,6.0,1,5.0,Del Mar,CA,92014,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93503318,2022-03-01,UPS SurePost - 1 LB or Greater,21.65,-3.56,18.09,3140212,6.0,1,6.0,Chehalis,WA,98532,15.0x 15.0x  6.0,18.09,0.0
1ZR4R346YW93494258,2022-03-01,UPS SurePost - 1 LB or Greater,18.75,-3.74,15.01,3140229,6.0,1,7.0,Albany,NY,12205,15.0x 15.0x  6.0,15.01,0.0
1ZR4R346YW95957352,2022-03-01,UPS SurePost - 1 LB or Greater,17.92,-3.57,14.35,3140162,4.0,1,7.0,Keene,NH,03431,14.0x 14.0x  4.0,14.350000000000001,0.0
1ZR4R346YW96835124,2022-03-01,UPS SurePost - 1 LB or Greater,17.92,-3.57,14.35,3140105,4.0,1,7.0,severna park,MD,21146,14.0x 14.0x  4.0,14.350000000000001,0.0
1ZR4R346YW95750584,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140199,6.0,1,5.0,Champaign,IL,61820,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93420185,2022-03-01,UPS SurePost - 1 LB or Greater,18.38,-3.69,14.69,3140134,9.0,1,5.0,San Jose,CA,95123,15.0x 15.0x 10.0,14.69,0.0
1ZR4R346YW93409966,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140119,6.0,1,5.0,Naperville,IL,60540,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93308744,2022-03-01,UPS SurePost - 1 LB or Greater,17.19,-3.44,13.75,3140160,6.0,1,5.0,Brooklyn Park,MN,55443,15.0x 15.0x  6.0,13.75,0.0
1ZR4R346YW93993576,2022-03-01,UPS SurePost - 1 LB or Greater,17.81,-3.56,14.25,3140118,6.0,1,6.0,Louisville,KY,40205,15.0x 15.0x  6.0,14.25,0.0
