Tracking Number,Transaction Date,Service Code,Published Charge,Incentive Charge,Net Charge,Ref No 1,Billed Weight,Package Quantity,Zone,Receiver City,Receiver State,Receiver Postal,Detail Keyed Dim,Total Cost,Adjustment
1ZR4R346YW95432409,2022-02-08,UPS SurePost - 1 LB or Greater,15.64,-3.13,12.51,3138382,2.0,1,7.0,Vero Beach,FL,32966,14.0x  8.0x  4.0,12.510000000000002,0.0
1ZR4R346YW95203871,2022-02-08,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138384,6.0,1,6.0,Hemlock,MI,48626,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW95165225,2022-02-08,UPS SurePost - 1 LB or Greater,18.9,-3.02,15.88,3138307,2.0,1,6.0,Atmore,AL,36502,14.0x  8.0x  4.0,15.879999999999999,-0.0
1ZR4R346YW95480287,2022-02-08,UPS SurePost - 1 LB or Greater,20.15,-3.27,16.88,3138305,4.0,1,5.0,Mattoon,IL,61938,14.0x 14.0x  4.0,16.88,0.0
1ZR4R346YW95488387,2022-02-08,UPS SurePost - 1 LB or Greater,14.48,-2.91,11.57,3138365,2.0,1,5.0,Nampa,ID,83687,14.0x  8.0x  4.0,11.57,0.0
1ZR4R346YW95116073,2022-02-08,UPS SurePost - 1 LB or Greater,20.59,-3.36,17.23,3138299,4.0,1,6.0,CLAXTON,GA,30417,14.0x 14.0x  4.0,17.23,0.0
1ZR4R346YW95727154,2022-02-08,UPS SurePost - 1 LB or Greater,20.93,-3.42,17.51,3138324,6.0,1,5.0,FARIBAULT,MN,55021,15.0x 15.0x  6.0,17.509999999999998,-0.0
1ZR4R346YW95735038,2022-02-08,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138373,6.0,1,7.0,Port charlotte,FL,33948,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW91646221,2022-02-08,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138394,6.0,1,6.0,Franklin,KY,42134,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW95071237,2022-02-08,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138363,4.0,1,5.0,Redding,CA,96003,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW94996464,2022-02-08,UPS SurePost - 1 LB or Greater,18.3,-3.67,14.63,3138301,9.0,1,5.0,Grand Rapids,MI,49525,15.0x 15.0x 10.0,14.629999999999999,-0.0
1ZR4R346YW94926280,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138306,9.0,1,7.0,Upper Marlboro,MD,20772,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW96760302,2022-02-08,UPS SurePost - 1 LB or Greater,15.37,-3.06,12.31,3138314,4.0,1,4.0,Stillwater,OK,74074,14.0x 14.0x  4.0,12.31,0.0
1ZR4R346YW95988864,2022-02-08,UPS SurePost - 1 LB or Greater,15.89,-3.18,12.71,3138378,6.0,1,4.0,Phoenix,AZ,85086,15.0x 15.0x  6.0,12.71,0.0
1ZR4R346YW97118648,2022-02-08,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138368,4.0,1,7.0,Estero,FL,33928,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW97124113,2022-02-08,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138316,4.0,1,6.0,Woodinville,WA,98077,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW94715249,2022-02-08,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138397,6.0,1,7.0,Pasadena,MD,21122,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW96702955,2022-02-08,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138344,6.0,1,7.0,Peabody,MA,01960,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW97244761,2022-02-08,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138345,6.0,1,5.0,Grand Haven,MI,49417,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW94349458,2022-02-08,UPS SurePost - 1 LB or Greater,17.07,-3.41,13.66,3138387,9.0,1,4.0,park city,UT,84098,15.0x 15.0x 10.0,13.66,0.0
1ZR4R346YW95233697,2022-02-08,UPS SurePost - 1 LB or Greater,21.65,-3.56,18.09,3138308,4.0,1,7.0,Portland,CT,06480,14.0x 14.0x  4.0,18.09,0.0
1ZR4R346YW97399970,2022-02-08,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138333,6.0,1,5.0,Texarkana,TX,75501,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW96678741,2022-02-08,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138329,4.0,1,5.0,Fair Oaks Ranch,TX,78015,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW90372199,2022-02-08,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138390,6.0,1,7.0,MIAMI SPRINGS,FL,33166,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW97941169,2022-02-08,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138338,4.0,1,7.0,Upper Marlboro,MD,20774,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW91649997,2022-02-08,UPS SurePost - 1 LB or Greater,24.53,-4.14,20.39,3138348,9.0,1,7.0,Calverton,NY,11933,15.0x 15.0x 10.0,20.39,0.0
1ZR4R346YW91907412,2022-02-08,UPS SurePost - 1 LB or Greater,17.07,-3.41,13.66,3138357,9.0,1,4.0,TUCSON,AZ,85742,15.0x 15.0x 10.0,13.66,0.0
1ZR4R346YW93589174,2022-02-08,UPS SurePost - 1 LB or Greater,22.96,-3.83,19.13,3138336,9.0,1,6.0,Clover,SC,29710,15.0x 15.0x 10.0,19.13,0.0
1ZR4R346YW99693022,2022-02-08,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138354,4.0,1,6.0,Chardon,OH,44024,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW98975989,2022-02-08,UPS SurePost - 1 LB or Greater,22.34,-3.55,18.79,3138356,6.0,1,6.0,Gallion,AL,36742,15.0x 15.0x  6.0,18.79,0.0
1ZR4R346YW92097126,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138319,9.0,1,7.0,Exton,PA,19341,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW92394144,2022-02-08,UPS SurePost - 1 LB or Greater,19.14,-3.83,15.31,3138321,9.0,1,6.0,Lynchburg,VA,24503,15.0x 15.0x 10.0,15.31,0.0
1ZR4R346YW92451386,2022-02-08,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138337,6.0,1,7.0,Windham,NH,03087,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW92533047,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138380,9.0,1,7.0,Randolph,MA,02368,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW92536553,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138327,9.0,1,7.0,Wake Forest,NC,27587,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW99631357,2022-02-08,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138335,4.0,1,5.0,Hoffman Estates,IL,60169,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW99619335,2022-02-08,UPS SurePost - 1 LB or Greater,20.59,-3.36,17.23,3138326,4.0,1,6.0,Gibsonville,NC,27249,14.0x 14.0x  4.0,17.23,0.0
1ZR4R346YW92670078,2022-02-08,UPS SurePost - 1 LB or Greater,22.11,-3.67,18.44,3138304,9.0,1,5.0,Columbus,MS,39701,15.0x 15.0x 10.0,18.439999999999998,-0.0
1ZR4R346YW99576104,2022-02-08,UPS SurePost - 1 LB or Greater,21.72,-3.42,18.3,3138298,6.0,1,5.0,EMMETT,ID,83617,15.0x 15.0x  6.0,18.299999999999997,-0.0
1ZR4R346YW99155916,2022-02-08,UPS SurePost - 1 LB or Greater,23.27,-3.73,19.54,3138303,6.0,1,7.0,Littleton,NC,27850,15.0x 15.0x  6.0,19.54,0.0
1ZR4R346YW99527774,2022-02-08,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138346,6.0,1,7.0,Fort Lauderdale,FL,33308,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW98852969,2022-02-08,UPS SurePost - 1 LB or Greater,22.48,-3.73,18.75,3138328,6.0,1,7.0,Manakin Sabot,VA,23103,15.0x 15.0x  6.0,18.75,0.0
1ZR4R346YW99453791,2022-02-08,UPS SurePost - 1 LB or Greater,15.64,-3.13,12.51,3138369,2.0,1,7.0,Holmdel,NJ,07733,14.0x  8.0x  4.0,12.510000000000002,0.0
1ZR4R346YW99300820,2022-02-08,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138371,9.0,1,6.0,Weddington,NC,28104,15.0x 15.0x  6.0,15.31,1.12
1ZR4R346YW98878549,2022-02-08,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138323,6.0,1,6.0,Howell,MI,48843,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW94253613,2022-02-08,UPS SurePost - 1 LB or Greater,22.34,-3.55,18.79,3138393,6.0,1,6.0,Greensboro,GA,30642,15.0x 15.0x  6.0,18.79,0.0
1ZR4R346YW91750519,2022-02-08,UPS SurePost - 1 LB or Greater,18.3,-3.67,14.63,3138312,9.0,1,5.0,Green Bay,WI,54304,15.0x 15.0x 10.0,14.629999999999999,-0.0
1ZR4R346YW99837064,2022-02-08,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138389,4.0,1,6.0,Pittsburgh,PA,15219,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW91810507,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138311,9.0,1,7.0,Belmont,MA,02478,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW94111230,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138372,9.0,1,7.0,Garner,NC,27529,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW94002661,2022-02-08,UPS SurePost - 1 LB or Greater,15.09,-3.02,12.07,3138398,2.0,1,6.0,Chattanooga,TN,37405,14.0x  8.0x  4.0,12.07,0.0
1ZR4R346YW91669564,2022-02-08,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138332,9.0,1,7.0,clearwater,FL,33760,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW91783654,2022-02-08,UPS SurePost - 1 LB or Greater,14.18,-2.83,11.35,3138391,2.0,1,4.0,Overland Park,KS,66223,14.0x  8.0x  4.0,11.35,0.0
1ZR4R346YW98819255,2022-02-08,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138377,4.0,1,7.0,Cheltenham,PA,19012,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW94009824,2022-02-07,UPS SurePost - 1 LB or Greater,17.07,-3.41,13.66,3138175,9.0,1,4.0,Draper,UT,84020,15.0x 15.0x 10.0,13.66,0.0
1ZR4R346YW93251626,2022-02-07,UPS SurePost - 1 LB or Greater,22.34,-3.55,18.79,3138100,6.0,1,6.0,Honeoye,NY,14471,15.0x 15.0x  6.0,18.79,0.0
1ZR4R346YW95426710,2022-02-07,UPS SurePost - 1 LB or Greater,20.59,-3.36,17.23,3138078,4.0,1,6.0,Wetumpka,AL,36093,14.0x 14.0x  4.0,17.23,0.0
1ZR4R346YW96492398,2022-02-07,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138047,4.0,1,6.0,SHORELINE,WA,98177,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW96403760,2022-02-07,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138054,4.0,1,7.0,RAYMOND,NH,03077,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW95477746,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138160,6.0,1,7.0,Linthicum Heights,MD,21090,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW93262525,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138125,6.0,1,5.0,"Redlands, CA",CA,92373,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW94026449,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138052,6.0,1,7.0,SUFFERN,NY,10901,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW95538331,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138161,6.0,1,5.0,Fort Worth,TX,76131,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW95558757,2022-02-07,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138255,6.0,1,6.0,Buford,GA,30518,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW95611966,2022-02-07,UPS SurePost - 1 LB or Greater,1.99,-0.4,1.59,3138287,8.0,1,6.0,Lexington,KY,40514,14.0x 14.0x  4.0,15.0,13.41
1ZR4R346YW95632694,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138170,6.0,1,7.0,Clark,NJ,07066,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW95396066,2022-02-07,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138174,6.0,1,6.0,Export,PA,15632,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW93955330,2022-02-07,UPS SurePost - 1 LB or Greater,21.37,-3.36,18.01,3138220,4.0,1,6.0,Benezette,PA,15821,14.0x 14.0x  4.0,18.009999999999998,-0.0
1ZR4R346YW96514917,2022-02-07,UPS SurePost - 1 LB or Greater,2.06,-0.42,1.64,3138108,8.0,1,7.0,Ormond Beach,FL,32174,14.0x 14.0x  4.0,15.92,14.28
1ZR4R346YW93019511,2022-02-07,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138227,4.0,1,7.0,Newport News,VA,23601,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW95665935,2022-02-07,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138063,4.0,1,7.0,Baltimore,MD,21210,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW95332197,2022-02-07,UPS SurePost - 1 LB or Greater,15.09,-3.02,12.07,3138264,2.0,1,6.0,Moore,SC,29369,14.0x  8.0x  4.0,12.07,0.0
1ZR4R346YW95324268,2022-02-07,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138233,6.0,1,6.0,Butler,IN,46721,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW95308124,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138164,6.0,1,5.0,Arlington Heights,IL,60005,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW95298252,2022-02-07,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138247,4.0,1,7.0,Wilmington,DE,19808,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW95294550,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138207,6.0,1,5.0,Cupertino,CA,95014,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW96553296,2022-02-07,UPS SurePost - 1 LB or Greater,22.96,-3.83,19.13,3138048,9.0,1,6.0,Maiden,NC,28650,15.0x 15.0x 10.0,19.13,0.0
1ZR4R346YW94064327,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138085,6.0,1,7.0,ELLICOTT CITY,MD,21043,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW92983365,2022-02-07,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138050,4.0,1,6.0,Mandeville,LA,70471,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW95190233,2022-02-07,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138266,4.0,1,5.0,Spring,TX,77379,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW92939501,2022-02-07,UPS SurePost - 1 LB or Greater,15.37,-3.06,12.31,3138239,4.0,1,4.0,North Salt Lake,UT,84054,14.0x 14.0x  4.0,12.31,0.0
1ZR4R346YW95143089,2022-02-07,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138115,4.0,1,6.0,Mooresville,NC,28117,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW96535485,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138230,6.0,1,5.0,San Mateo,CA,94401,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW93330586,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138070,6.0,1,7.0,Gainesville,FL,32653,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW95667719,2022-02-07,UPS SurePost - 1 LB or Greater,19.71,-3.18,16.53,3138105,6.0,1,4.0,Scottsdale,AZ,85262,15.0x 15.0x  6.0,16.53,0.0
1ZR4R346YW96335414,2022-02-07,UPS SurePost - 1 LB or Greater,15.89,-3.18,12.71,3138286,6.0,1,4.0,Goodyear,AZ,85338,15.0x 15.0x  6.0,12.71,0.0
1ZR4R346YW93937163,2022-02-07,UPS SurePost - 1 LB or Greater,18.3,-3.67,14.63,3138112,9.0,1,5.0,Houston,TX,77084,15.0x 15.0x 10.0,14.629999999999999,-0.0
1ZR4R346YW94222049,2022-02-07,UPS SurePost - 1 LB or Greater,20.59,-3.36,17.23,3138177,4.0,1,6.0,Sharpsburg,GA,30277,14.0x 14.0x  4.0,17.23,0.0
1ZR4R346YW96303501,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138223,6.0,1,7.0,Port Jefferson Station,NY,11776,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW93922615,2022-02-07,UPS SurePost - 1 LB or Greater,20.15,-3.27,16.88,3138294,4.0,1,5.0,Victoria,MN,55386,14.0x 14.0x  4.0,16.88,0.0
1ZR4R346YW93835684,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138130,6.0,1,5.0,Plano,TX,75074,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW96130733,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138257,6.0,1,7.0,MIAMI,FL,33156,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW96116562,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138254,6.0,1,7.0,Miami,FL,33176,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW96111405,2022-02-07,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138148,6.0,1,6.0,Front Royal,VA,22630,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW93724311,2022-02-07,UPS SurePost - 1 LB or Greater,19.14,-3.83,15.31,3138210,9.0,1,6.0,Cincinnati,OH,45233,15.0x 15.0x 10.0,15.31,0.0
1ZR4R346YW96355072,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138173,6.0,1,7.0,Baltimore,MD,21210,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW96357445,2022-02-07,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138126,4.0,1,7.0,BERLIN,NJ,08009,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW96078836,2022-02-07,UPS SurePost - 1 LB or Greater,22.9,-3.67,19.23,3138076,9.0,1,5.0,Auburntown,TN,37016,15.0x 15.0x 10.0,19.23,0.0
1ZR4R346YW93519203,2022-02-07,UPS SurePost - 1 LB or Greater,22.9,-3.67,19.23,3138180,9.0,1,5.0,ABBOTSFORD,WI,54405,15.0x 15.0x 10.0,19.23,0.0
1ZR4R346YW96066652,2022-02-07,UPS SurePost - 1 LB or Greater,22.48,-3.73,18.75,3138275,6.0,1,7.0,Lithia,FL,33547,15.0x 15.0x  6.0,18.75,0.0
1ZR4R346YW95999281,2022-02-07,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138171,6.0,1,6.0,Alpharetta,GA,30005,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW95994535,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138213,6.0,1,5.0,Westmont,IL,60559,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW93485713,2022-02-07,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138087,6.0,1,6.0,Wetumpka,AL,36092,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW95111185,2022-02-07,UPS SurePost - 1 LB or Greater,15.37,-3.06,12.31,3138284,4.0,1,4.0,Riverton,UT,84065,14.0x 14.0x  4.0,12.31,0.0
1ZR4R346YW95795429,2022-02-07,UPS SurePost - 1 LB or Greater,14.48,-2.91,11.57,3138051,2.0,1,5.0,Minneapolis,MN,55447,14.0x  8.0x  4.0,11.57,0.0
1ZR4R346YW95758782,2022-02-07,UPS SurePost - 1 LB or Greater,15.64,-3.13,12.51,3138265,2.0,1,7.0,Baltimore,MD,21224,14.0x  8.0x  4.0,12.510000000000002,0.0
1ZR4R346YW96371670,2022-02-07,UPS SurePost - 1 LB or Greater,20.71,-4.14,16.57,3138059,9.0,1,7.0,Riverview,FL,33569,15.0x 15.0x 10.0,16.57,0.0
1ZR4R346YW95756426,2022-02-07,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138283,6.0,1,6.0,Cincinnati,OH,45245,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW93425886,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138187,6.0,1,7.0,WEST PALM BCH,FL,33409,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW95745652,2022-02-07,UPS SurePost - 1 LB or Greater,15.09,-3.02,12.07,3138110,2.0,1,6.0,Owens Cross Roads,AL,35763,14.0x  8.0x  4.0,12.07,0.0
1ZR4R346YW93365558,2022-02-07,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138204,4.0,1,5.0,Torrance,CA,90505,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW95732460,2022-02-07,UPS SurePost - 1 LB or Greater,20.93,-3.42,17.51,3138273,6.0,1,5.0,Livermore,CA,94550,15.0x 15.0x  6.0,17.509999999999998,-0.0
1ZR4R346YW93338113,2022-02-07,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138178,6.0,1,6.0,Manchester,TN,37355,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW95950902,2022-02-07,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138084,4.0,1,5.0,Oak Lawn,IL,60453,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW92709741,2022-02-07,UPS SurePost - 1 LB or Greater,22.11,-3.67,18.44,3138136,9.0,1,5.0,Stewartville,MN,55976,15.0x 15.0x 10.0,18.439999999999998,-0.0
1ZR4R346YW92855226,2022-02-07,UPS SurePost - 1 LB or Greater,17.74,-3.55,14.19,3138046,6.0,1,6.0,Novi,MI,48375,15.0x 15.0x  6.0,14.190000000000001,0.0
1ZR4R346YW90677271,2022-02-07,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138031,6.0,1,6.0,Gainesville,GA,30506,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW90906120,2022-02-07,UPS SurePost - 1 LB or Greater,15.37,-3.06,12.31,3138221,4.0,1,4.0,Kansas City,MO,64112,14.0x 14.0x  4.0,12.31,0.0
1ZR4R346YW91974573,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138111,6.0,1,5.0,Missoula,MT,59801,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW90900386,2022-02-07,UPS SurePost - 1 LB or Greater,20.15,-3.27,16.88,3138198,4.0,1,5.0,Lancaster,CA,93535,14.0x 14.0x  4.0,16.88,0.0
1ZR4R346YW91975287,2022-02-07,UPS SurePost - 1 LB or Greater,17.84,-3.56,14.28,3138242,4.0,1,7.0,Manchester,CT,06040,14.0x 14.0x  4.0,14.280000000000001,0.0
1ZR4R346YW90876136,2022-02-07,UPS SurePost - 1 LB or Greater,24.53,-4.14,20.39,3138277,9.0,1,7.0,Newport,NC,28570,15.0x 15.0x 10.0,20.39,0.0
1ZR4R346YW91985936,2022-02-07,UPS SurePost - 1 LB or Greater,18.3,-3.67,14.63,3138137,9.0,1,5.0,San Antonio,TX,78249,15.0x 15.0x 10.0,14.629999999999999,-0.0
1ZR4R346YW92010978,2022-02-07,UPS SurePost - 1 LB or Greater,20.59,-3.36,17.23,3138080,4.0,1,6.0,Brandon Township,MI,48462,14.0x 14.0x  4.0,17.23,0.0
1ZR4R346YW92012654,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138038,6.0,1,7.0,Manchester,NH,03102,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW94135018,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138102,6.0,1,5.0,Florissant,MO,63034,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW90778457,2022-02-07,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138172,4.0,1,5.0,Evanston,IL,60202,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW92155250,2022-02-07,UPS SurePost - 1 LB or Greater,24.53,-4.14,20.39,3138152,9.0,1,7.0,Grasonville,MD,21638,15.0x 15.0x 10.0,20.39,0.0
1ZR4R346YW90767905,2022-02-07,UPS SurePost - 1 LB or Greater,21.55,-3.55,18.0,3138128,6.0,1,6.0,Seymour,TN,37865,15.0x 15.0x  6.0,18.0,0.0
1ZR4R346YW92201057,2022-02-07,UPS SurePost - 1 LB or Greater,18.67,-3.73,14.94,3138193,6.0,1,7.0,Suffern,NY,10901,15.0x 15.0x  6.0,14.940000000000001,0.0
1ZR4R346YW92204241,2022-02-07,UPS SurePost - 1 LB or Greater,20.93,-3.42,17.51,3138040,6.0,1,5.0,MALIBU,CA,90265,15.0x 15.0x  6.0,17.509999999999998,-0.0
1ZR4R346YW92217022,2022-02-07,UPS SurePost - 1 LB or Greater,16.77,-3.36,13.41,3138191,4.0,1,6.0,Greensboro,NC,27406,14.0x 14.0x  4.0,13.41,0.0
1ZR4R346YW91970808,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138068,6.0,1,5.0,Puyallup,WA,98371,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW96619475,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138268,6.0,1,5.0,Chicago,IL,60630,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW91098172,2022-02-07,UPS SurePost - 1 LB or Greater,16.33,-3.27,13.06,3138199,4.0,1,5.0,Las Vegas,NV,89147,14.0x 14.0x  4.0,13.06,0.0
1ZR4R346YW91523390,2022-02-07,UPS SurePost - 1 LB or Greater,17.12,-3.42,13.7,3138069,6.0,1,5.0,Chula Vista,CA,91913,15.0x 15.0x  6.0,13.7,0.0
1ZR4R346YW91593672,2022-02-07,UPS SurePost - 1 LB or Greater,21.72,-3.42,18.3,3138188,6.0,1,5.0,Wharton,TX,77488,15.0x 15.0x  6.0,18.299999999999997,-0.0
