"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1Z986E610366265588","Jan 12, 2022","Inbound","Collect","Ground Residential Collect","$28.77","-$10.22","$18.55","450275-1","14714"
"1ZR4R3460396526591","Jan 18, 2022","Outbound","Shipping API","Ground Residential","$28.11","-$11.11","$17.00","",""
"1ZR4R346YW90004050","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3136411",""
"1ZR4R346YW90013264","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.28","-$3.54","$18.74","3136442",""
"1ZR4R346YW90018018","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.69","-$3.82","$19.87","3136421",""
"1ZR4R346YW90039693","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3136420",""
"1ZR4R346YW90073584","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3136359",""
"1ZR4R346YW90090798","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.85","-$3.17","$12.68","3136435",""
"1ZR4R346YW90151169","Jan 19, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.66","-$3.53","$14.13","3136816",""
"1ZR4R346YW90175054","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.01","-$3.08","$16.93","3136604",""
"1ZR4R346YW90199083","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3136449",""
"1ZR4R346YW90269284","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.66","-$3.53","$14.13","3136720",""
"1ZR4R346YW90294630","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.65","-$2.60","$15.05","3136551",""
"1ZR4R346YW90317490","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.86","-$3.17","$12.69","3136384",""
"1ZR4R346YW90352451","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.04","-$3.41","$13.63","3136717",""
"1ZR4R346YW90356046","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.04","-$3.41","$13.63","3136668",""
"1ZR4R346YW90448590","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.43","-$3.72","$18.71","3136408",""
"1ZR4R346YW90453986","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.68","-$3.54","$14.14","3136433",""
"1ZR4R346YW90494781","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.94","-$3.48","$18.46","3136705",""
"1ZR4R346YW90513965","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.68","-$3.54","$14.14","3136366",""
"1ZR4R346YW90520162","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3136423",""
"1ZR4R346YW90572991","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.44","-$3.17","$17.27","3136484",""
"1ZR4R346YW90573838","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.63","-$3.41","$18.22","3136427",""
"1ZR4R346YW90596420","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3136365",""
"1ZR4R346YW90628574","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.43","-$3.08","$12.35","3136697",""
"1ZR4R346YW90643744","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.04","-$3.41","$13.63","3136750",""
"1ZR4R346YW90713507","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.82","-$3.16","$12.66","3136722",""
"1ZR4R346YW90718066","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.43","-$2.96","$16.47","3136612",""
"1ZR4R346YW90729689","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.55","-$3.71","$14.84","3136563",""
"1ZR4R346YW90730604","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.96","-$3.40","$13.56","3136654",""
"1ZR4R346YW90841922","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.81","-$3.40","$17.41","3136459",""
"1ZR4R346YW90887955","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.37","-$3.31","$17.06","3136689",""
"1ZR4R346YW90991814","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.22","-$3.72","$19.50","3136364",""
"1ZR4R346YW91007313","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.49","-$3.54","$17.95","3136458",""
"1ZR4R346YW91057395","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.55","-$3.71","$14.84","3136537",""
"1ZR4R346YW91109221","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.65","-$2.60","$15.05","3136658",""
"1ZR4R346YW91131278","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.35","-$3.71","$18.64","3136574",""
"1ZR4R346YW91156671","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3136415",""
"1ZR4R346YW91245100","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.70","-$3.54","$14.16","3136426",""
"1ZR4R346YW91250694","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3136524",""
"1ZR4R346YW91272821","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.40","-$3.72","$18.68","3136440",""
"1ZR4R346YW91344039","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.60","-$3.12","$12.48","3135700",""
"1ZR4R346YW91399007","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.57","-$3.31","$13.26","3136620",""
"1ZR4R346YW91425353","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3136472",""
"1ZR4R346YW91449337","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.38","-$3.71","$18.67","3136727",""
"1ZR4R346YW91493753","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.76","-$3.40","$17.36","3136610",""
"1ZR4R346YW91519136","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.85","-$3.17","$12.68","3136460",""
"1ZR4R346YW91528000","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.26","-$3.66","$14.60","3136414",""
"1ZR4R346YW91558255","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.68","-$3.54","$14.14","3136453",""
"1ZR4R346YW91601895","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.08","-$3.42","$13.66","3136448",""
"1ZR4R346YW91633511","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.04","-$3.41","$13.63","3136725",""
"1ZR4R346YW91660858","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.96","-$3.40","$13.56","3136554",""
"1ZR4R346YW91671024","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.88","-$2.97","$11.91","3136490",""
"1ZR4R346YW91679375","Jan 12, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3136356",""
"1ZR4R346YW91716100","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.85","-$2.96","$11.89","3136532",""
"1ZR4R346YW91718322","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.55","-$3.40","$18.15","3136602",""
"1ZR4R346YW91719349","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.65","-$3.53","$14.12","3136608",""
"1ZR4R346YW91754720","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.57","-$3.12","$12.45","3136633",""
"1ZR4R346YW91824583","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.55","-$3.71","$14.84","3136528",""
"1ZR4R346YW91869473","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.23","-$3.53","$18.70","3136562",""
"1ZR4R346YW91914628","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.82","$15.28","3136425",""
"1ZR4R346YW91944962","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.85","-$2.96","$11.89","3136694",""
"1ZR4R346YW91963727","Jan 13, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.63","-$3.72","$14.91","3136436",""
"1ZR4R346YW91973976","Jan 14, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.59","-$3.72","$14.87","3136478",""
"1ZR4R346YW92059597","Jan 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.43","-$3.08","$12.35","3136714",""
