"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R3460395324622","Dec 05, 2021","Outbound","UPS Internet Shipping","Ground Residential","$23.01","-$9.00","$14.01","",""
"1ZR4R3460397081006","Dec 07, 2021","Outbound","Shipping API","Ground Residential","$16.96","-$3.53","$13.43","",""
"1ZR4R346YW90028203","Dec 03, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.48","-$3.30","$13.18","3132847",""
"1ZR4R346YW90030030","Dec 03, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.42","-$2.89","$11.53","3132826",""
"1ZR4R346YW90049119","Dec 08, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3133293",""
"1ZR4R346YW90053284","Nov 30, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.89","-$3.33","$16.56","3132505",""
"1ZR4R346YW90054345","Dec 02, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3132782",""
"1ZR4R346YW90059831","Dec 02, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$14.99","-$3.01","$11.98","3132773",""
"1ZR4R346YW90076901","Dec 02, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.29","-$3.46","$13.83","3132756",""
"1ZR4R346YW90078525","Nov 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.62","-$3.33","$13.29","3132112",""
"1ZR4R346YW90081299","Dec 02, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3132771",""
"1ZR4R346YW90102284","Nov 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.05","-$3.21","$12.84","3131979",""
"1ZR4R346YW90119490","Nov 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.47","-$3.10","$12.37","3132050",""
"1ZR4R346YW90120666","Dec 02, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3132768",""
"1ZR4R346YW90128033","Nov 30, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.90","-$3.46","$16.44","3132492",""
"1ZR4R346YW90174493","Dec 06, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3133043",""
"1ZR4R346YW90183081","Nov 30, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.76","-$3.30","$16.46","3132553",""
"1ZR4R346YW90208803","Nov 30, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.48","-$3.50","$13.98","3132510",""
"1ZR4R346YW90212487","Nov 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.66","-$3.21","$15.45","3131928",""
"1ZR4R346YW90233400","Dec 06, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.38","-$3.87","$15.51","3133128",""
"1ZR4R346YW90250534","Nov 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.93","-$3.59","$14.34","3131775",""
"1ZR4R346YW90253068","Dec 03, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.14","-$3.43","$13.71","3132851",""
"1ZR4R346YW90263904","Nov 29, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.09","-$3.50","$16.59","3132102",""
"1ZR4R346YW90263931","Nov 30, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.23","-$3.33","$15.90","3132475",""
"1ZR4R346YW90290438","Dec 06, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.10","-$3.16","$15.94","3133003",""
"1ZR4R346YW90296692","Dec 06, 2021","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.18","-$2.97","$15.21","3133099",""
