"Tracking Number","Transaction Date","Type","System","Service Code","Published Charge","Incentive Charge","Net Charge","Ref No 1","Ref No 2"
"1ZR4R346YW90003159","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.16","-$3.43","$13.73","3139297",""
"1ZR4R346YW90004783","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.99","-$2.83","$15.16","3139148",""
"1ZR4R346YW90048352","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.34","-$3.68","$14.66","3139415",""
"1ZR4R346YW90059064","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.16","-$3.43","$13.73","3139220",""
"1ZR4R346YW90071719","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.98","-$3.43","$17.55","3139450",""
"1ZR4R346YW90090065","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.16","-$3.43","$13.73","3139535",""
"1ZR4R346YW90091939","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.76","-$4.15","$16.61","3139267",""
"1ZR4R346YW90109009","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.64","-$3.13","$12.51","3139169",""
"1ZR4R346YW90136515","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.76","-$4.15","$16.61","3139424",""
"1ZR4R346YW90167394","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.55","-$3.55","$18.00","3139135",""
"1ZR4R346YW90172020","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.81","-$3.36","$13.45","3139210",""
"1ZR4R346YW90203755","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.12","-$3.42","$13.70","3139129",""
"1ZR4R346YW90206387","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.78","-$3.56","$14.22","3139387",""
"1ZR4R346YW90207037","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.76","-$4.15","$16.61","3139286",""
"1ZR4R346YW90210336","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.70","-$3.57","$18.13","3139247",""
"1ZR4R346YW90227051","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$23.32","-$3.73","$19.59","3139538",""
"1ZR4R346YW90243122","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.18","-$3.84","$15.34","3139422",""
"1ZR4R346YW90264743","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.16","-$3.43","$13.73","3139298",""
"1ZR4R346YW90265984","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.53","-$3.73","$18.80","3139291",""
"1ZR4R346YW90325801","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.37","-$3.27","$13.10","3139390",""
"1ZR4R346YW90329530","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.67","-$3.73","$14.94","3139186",""
"1ZR4R346YW90355823","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.18","-$3.84","$15.34","3139301",""
"1ZR4R346YW90356297","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.74","-$3.55","$14.19","3139171",""
"1ZR4R346YW90368104","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.93","-$3.18","$12.75","3139525",""
"1ZR4R346YW90381769","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.18","-$3.84","$15.34","3139507",""
"1ZR4R346YW90399527","Feb 23, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.16","-$3.43","$13.73","3139599",""
"1ZR4R346YW90405519","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.78","-$3.56","$14.22","3139399",""
"1ZR4R346YW90440605","Feb 17, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$19.14","-$3.83","$15.31","3139084",""
"1ZR4R346YW90449491","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.16","-$3.43","$13.73","3139207",""
"1ZR4R346YW90455724","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.78","-$3.56","$14.22","3139300",""
"1ZR4R346YW90476363","Feb 17, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$17.99","-$2.83","$15.16","3139055",""
"1ZR4R346YW90488421","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.01","-$3.07","$16.94","3139381",""
"1ZR4R346YW90517701","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$21.72","-$3.42","$18.30","3139177",""
"1ZR4R346YW90569307","Feb 16, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.93","-$3.42","$17.51","3139040",""
"1ZR4R346YW90571698","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$15.93","-$3.18","$12.75","3139312",""
"1ZR4R346YW90577610","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$20.19","-$3.27","$16.92","3139295",""
"1ZR4R346YW90585834","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.71","-$3.74","$14.97","3139228",""
"1ZR4R346YW90590686","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$22.39","-$3.56","$18.83","3139211",""
"1ZR4R346YW90601226","Feb 22, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$18.71","-$3.74","$14.97","3139377",""
"1ZR4R346YW90626521","Feb 18, 2022","Outbound","Shipping API","UPS SurePost - 1 LB or Greater","$16.33","-$3.27","$13.06","3139180",""
